"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","934","950","972","995","1023","1059","1102","1149","1202","1262","1327","1395","1448","1526","1599","1667","1748","1842","1926","2000","2073","2162","2283","2405","2489","2490","2468","2491","2540","2570","2550","2470","2447","2590","2728","2827","2967","3118","3248","3358","3486","3653","3827","4021","4267","4542","4774","4950","5137","5329","5523","5787","6127","6494","6850","7220","7591","7915","8278","8685","9040","9343","9692","10135","10646",
"","AFE","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","2162546","2208254","2257144","2309116","2365269","2425592","2489048","2557274","2630741","2706911","2786230","2868521","2951578","3038720","3130407","3223960","3321765","3421391","3531188","3651378","3766965","3890513","4027532","4163186","4301726","4444003","4584091","4736635","4882432","5012555","5145872","5277487","5419572","5558487","5707994","5882466","6070309","6259178","6437998","6627171","6823620","7021282","7221786","7423318","7627245","7833476","8039231","8246984","8454964","8666730","8896609","9145923","9424333","9733531","10064071","10418733","10789602","11196024","11661125","12158946","12650991","13113060","13598026","14137402","14707949",
"Afghanistan","AFG","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","117264","119751","122340","125012","127775","130672","133673","136786","140038","143407","146938","150529","154219","158136","162128","166014","169623","173131","176295","176104","168864","152162","138836","136405","137737","138079","136413","135352","136740","141162","143493","146044","158757","179265","195841","206513","215685","224666","233733","243009","246353","248755","262949","280450","291336","302346","315775","323090","332060","346749","360197","377681","397764","415968","434591","449511","461729","476893","493846","512031","529296","540141","549734","567367","589850",
"","AFW","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1768547","1812784","1862654","1912471","1961041","2007989","2053461","2096868","2140905","2186827","2232002","2274187","2318001","2367682","2421311","2478522","2537107","2600800","2671902","2747113","2818935","2888119","2966419","3048299","3128067","3209268","3291411","3373781","3456662","3540646","3623622","3706518","3792394","3879010","3966577","4058177","4151516","4246580","4343481","4439637","4539107","4644604","4755963","4871634","4989876","5111555","5237128","5368043","5508597","5654602","5805271","5962388","6117990","6266598","6404808","6548048","6707769","6876768","7055523","7244392","7437590","7636111","7852621","8099023","8364262",
"Angola","AGO","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","81025","81623","81845","81845","81596","81091","80332","79312","78052","76593","75875","76222","77044","78194","79528","80979","82509","84321","86485","88929","91702","94820","98307","102100","106157","110595","115431","120420","125791","131965","138893","146794","155408","164726","175136","186233","197729","209581","221384","233245","245191","257156","269179","281316","293546","305455","317123","328810","340731","352964","365742","379183","392983","406361","418556","430846","444589","459760","476503","494939","514564","534902","557366","582419","608979",
"Albanie","ALB","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","50722","51220","51630","52238","53019","53944","54994","56191","57658","59258","60677","62064","63685","65504","67432","69539","71790","74266","76753","78398","79524","80634","81805","83193","84971","87995","91316","93811","95885","99343","103527","105724","107574","109422","111256","113470","115778","117820","119784","121838","124041","126416","130317","134536","139101","144099","149446","154742","159685","164210","168492","172610","174313","176340","178714","181320","183761","186196","189190","193030","197183","201248","205237","209158","214082",
"Andorre","AND","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","412","410","407","406","400","398","411","433","463","499","534","573","613","653","696","747","805","869","937","1012","1098","1191","1286","1380","1480","1614","1766","1947","2140","2310","2491","2653","2821","3035","3205","3337","3484","3646","3801","3932","4056","4220","4406","4548","4643","4691","4778","4950","5157","5339","5255","5088","5049","4994","4942","4868","4893","5049","5234","5441","5667","5883","6112","6382","6680",
"Le monde arabe","ARB","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1739765","1802941","1873129","1942083","2008632","2073237","2134403","2193395","2253317","2313180","2372056","2430163","2488321","2546728","2605389","2667253","2730559","2792250","2857831","2930561","3005990","3079278","3154560","3236973","3328593","3426286","3531476","3643137","3751589","3861668","3991102","4099379","4230840","4387705","4550992","4713581","4883457","5058747","5232450","5401572","5567762","5732150","5899052","6064391","6223099","6377518","6528528","6678988","6839276","7015255","7191438","7401380","7640170","7910526","8183374","8479858","8809292","9171713","9566951","9994018","10420886","10781123","11224625","11750013","12304631",
"Émirats arabes unis","ARE","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1621","1612","1598","1576","1545","1506","1460","1408","1456","1660","1938","2263","2636","3069","3586","4205","4653","4856","5016","5130","5221","5453","5835","6229","6641","7086","7480","7797","8101","8402","8711","9036","9394","9795","10229","10690","11510","12769","14235","15950","17928","20166","22670","25470","28660","32383","35890","36893","36690","38766","40203","41629","44620","47054","49955","53690","57335","59507","61248","62625","64267","69256","74200","79441","85760",
"Argentine","ARG","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","567344","594959","623792","653375","683610","714549","746575","779292","812080","844447","877852","911992","945759","980206","1016371","1054431","1093595","1134642","1177262","1218853","1258141","1297038","1334632","1369653","1404387","1442818","1486065","1531965","1580523","1631629","1682603","1734473","1788305","1841091","1891742","1939954","1985879","2030762","2073151","2112272","2150440","2189376","2229122","2266565","2302809","2342067","2383428","2421594","2461090","2507198","2554388","2604896","2656442","2704408","2755301","2813099","2871207","2925800","2982881","3040979","3093343","3133363","3167383","3214319","3272839",
