"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","634","645","663","686","718","756","799","852","910","976","1045","1112","1166","1234","1293","1347","1405","1465","1518","1568","1628","1689","1757","1832","1888","1882","1857","1883","1948","1993","1977","1896","1869","1991","2109","2185","2293","2421","2517","2581","2655","2763","2879","3011","3194","3396","3572","3706","3848","4001","4141","4319","4555","4807","5061","5341","5634","5913","6219","6540","6788","6952","7156","7438","7774",
"","AFE","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1721450","1755244","1791520","1830954","1875326","1924846","1978448","2037333","2101439","2168523","2237320","2307795","2379417","2454771","2533978","2614586","2697882","2782685","2877730","2982225","3080042","3178051","3283733","3387091","3489772","3596207","3703934","3826481","3944926","4046748","4151128","4262334","4375148","4485626","4593742","4696918","4802664","4911755","5023825","5140508","5262950","5390514","5520122","5652281","5789050","5932951","6082782","6237571","6395249","6558725","6738166","6932908","7152314","7396384","7654031","7922339","8191853","8484682","8822292","9181763","9516897","9824030","10157714","10526021","10916493",
"Afghanistan","AFG","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","137827","139105","140309","141518","142883","144483","146266","148266","150426","152558","154664","156667","158609","160719","162999","165347","167605","169958","172045","170750","162599","145495","131642","128175","127986","126579","123620","121538","121857","125157","126657","128359","138983","156521","170491","179082","186317","193251","200061","207012","208989","210065","221046","234852","243172","251577","261805","266674","272689","283198","292208","303814","316703","327092","338176","347801","355643","365272","375906","387488","396925","400888","405956","418236","434103",
"","AFW","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1468865","1502661","1542517","1582974","1622039","1659466","1695812","1730561","1765691","1802284","1838748","1872665","1907523","1947684","1992307","2040820","2091281","2147679","2211119","2276961","2337837","2395637","2462056","2532302","2599414","2666767","2736100","2806528","2877948","2951270","3022594","3093499","3168253","3242614","3315506","3391229","3469022","3548733","3632577","3717690","3805496","3898648","3999598","4106638","4216080","4327280","4440192","4557712","4686105","4819798","4957037","5101556","5244852","5377505","5496958","5620580","5760200","5910336","6070310","6240401","6403240","6572185","6769527","6990622","7225808",
"Angola","AGO","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","84064","85988","87211","88296","89280","90176","90959","91653","92307","92965","93043","92867","93346","94183","95015","95680","96150","96676","97378","98216","99293","100612","102196","103982","105942","108211","110796","113411","116251","119685","123603","128174","133117","138240","144068","150840","158264","165990","173520","180721","187838","194941","202130","209647","217380","225032","232895","241250","250168","259719","270184","281556","293420","305091","316005","326960","338981","352119","366341","381786","397183","412911","430914","450785","471685",
"Albanie","ALB","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","37547","37947","38160","38537","39035","39567","40119","40751","41583","42584","43587","44671","45941","47335","48872","50617","52510","54548","56593","57871","58517","59192","60007","60999","62218","63984","65963","67968","69731","71646","73259","73996","75829","78637","81920","85234","88225","91173","94542","98366","102406","106334","111153","115957","120792","125703","130666","135565","140368","145035","149612","153590","154935","156622","158764","161269","163724","166169","169100","172833","176198","178839","181541","184387","188193",
"Andorre","AND","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","253","261","269","276","284","293","308","336","373","416","463","510","562","620","679","746","823","906","993","1086","1188","1297","1404","1518","1640","1766","1898","2043","2228","2412","2587","2754","2940","3204","3361","3421","3558","3701","3807","3915","4038","4190","4351","4470","4513","4534","4635","4807","5003","5190","5030","4783","4692","4593","4541","4462","4504","4687","4903","5132","5335","5556","5819","6084","6386",
"Le monde arabe","ARB","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1445036","1485729","1532753","1580600","1629043","1677985","1723201","1764949","1807927","1851856","1895916","1940233","1985756","2032049","2079206","2134517","2196246","2252878","2308484","2369642","2432146","2492151","2553819","2621464","2696614","2777395","2864687","2957942","3050047","3145181","3258775","3356481","3474058","3613664","3757026","3900518","4051845","4209483","4362777","4507995","4649634","4788670","4927850","5064833","5197556","5330011","5465688","5606232","5754217","5908226","6057128","6247050","6464053","6708615","6955916","7232888","7539989","7875519","8229692","8605176","8957229","9206855","9565257","10031493","10516275",
"Émirats arabes unis","ARE","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1464","1485","1509","1541","1580","1622","1661","1697","1807","2041","2358","2745","3216","3792","4519","5447","6163","6513","6765","6895","6944","7147","7525","7893","8239","8561","8920","9332","9778","10264","10792","11363","11960","12558","13113","13603","14810","16999","19686","22904","26619","30737","35144","39805","44818","50387","55545","58771","61311","60018","57482","60068","63856","67051","70660","74282","75371","76894","79055","81706","82774","85788","91003","98325","108366",
"Argentine","ARG","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","508122","528828","549223","569113","588942","609097","630288","651676","672026","690728","710143","731039","751599","771383","791314","811513","831531","852069","872888","893047","911699","930344","948416","965813","983519","1002927","1025639","1050844","1078467","1108020","1137877","1168958","1201709","1233629","1267152","1300586","1331903","1363126","1391664","1418113","1444348","1469756","1494230","1516165","1538837","1565974","1596500","1626682","1659669","1699320","1740504","1783539","1830550","1880512","1931802","1983077","2031938","2082001","2136199","2190577","2236341","2267236","2297040","2342742","2400798",
"Arménie","ARM","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","48976","48195","47565","47128","46955","47080","47509","48243","49245","50447","51793","53252","54793","56388","58000","59536","60896","61988","62689","62860","62368","61200","59716","58372","57205","56264","55759","55899","56726","59799","64683","70089","76161","82395","88681","94697","100102","104623","107546","109311","115131","120082","125383","129983","133816","136521","137472","136007","132423","127986","124281","122056","121413","121199","121015","121950","123725","126006","128578","131809","134727","137110","140588","143466","152223",
"Samoa américaines","ASM","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","244","245","245","244","250","263","277","291","304","311","316","324","332","341","354","370","383","398","420","440","462","484","508","538","569","598","628","657","686","720","748","767","782","796","807","816","822","826","830","835","855","893","929","960","987","1005","1016","1026","1032","1037","1057","1095","1142","1194","1240","1280","1317","1355","1393","1426","1480","1549","1612","1683","1758",
"Antigua-et-Barbuda","ATG","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","648","700","763","834","901","957","1001","1028","1038","1035","1065","1139","1220","1310","1409","1509","1614","1725","1831","1933","2031","2121","2209","2296","2364","2409","2443","2465","2467","2449","2413","2383","2366","2351","2342","2333","2314","2296","2286","2280","2282","2291","2300","2303","2302","2302","2307","2324","2355","2399","2456","2526","2605","2689","2784","2905","3057","3218","3362","3510","3679","3862","4062","4285","4515",
"Australie","AUS","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","378520","383476","391015","396466","401533","407008","414326","417642","422761","429429","437294","453605","465103","476814","494505","508249","523195","539191","556416","574586","592940","611183","628584","643350","659135","679944","705739","732023","757065","781846","806608","832832","858311","881410","903904","926356","949770","971734","992438","1013501","1035839","1062234","1087854","1113440","1139290","1167642","1197924","1233938","1272903","1318556","1366840","1419964","1481518","1542457","1599309","1655694","1712931","1770219","1826838","1889572","1959682","2011803","2075946","2162790","2249256",
"Autriche","AUT","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","333254","337896","343386","348671","355790","363263","371180","379812","386701","392246","397335","402194","406658","410808","414651","417615","419739","422592","424606","424566","420529","410343","396980","383470","375114","373867","376670","381372","386158","390557","395617","401271","407597","415538","424499","433433","441690","448956","455275","460878","466428","473171","479711","486989","504501","530933","555821","574777","589842","604344","613557","621482","636100","652960","668452","681981","693771","705649","717591","729896","743487","759440","781455","806635","831622",
"Azerbaïdjan","AZE","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","70807","71048","70709","70391","70391","70282","70251","70249","70326","70530","70855","71451","72251","73196","74268","75277","75875","76095","76328","76472","76363","76260","75857","75931","76370","77221","78639","80688","83288","87336","93563","101323","110208","121104","132284","142500","150299","156673","163654","171118","180402","190678","201227","210774","217951","223056","225704","224404","221579","216729","210693","207145","206923","209543","213173","218916","228605","240903","254921","269707","282911","295499","312781","335092","360964",
"Burundi","BDI","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","36730","37755","38885","39918","41297","42543","43630","44857","46022","47107","48206","49437","49207","48920","50246","51571","52743","54094","55598","56820","59027","61033","61942","63008","63881","64535","64890","65371","65488","65222","65002","64664","64745","60657","60132","63293","61262","59836","60396","61428","62241","63517","65186","67266","69928","72536","74990","77578","80731","85115","89080","91713","94550","97723","100536","103397","107564","112856","119304","126242","132309","137848","143491","149410","155084",
"Belgique","BEL","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","467542","472013","478096","483995","491489","500139","508516","517236","523000","526994","530601","534354","539492","544223","548769","552695","554649","557507","561494","564672","563985","556191","543924","530342","523521","528242","538177","549311","562522","575430","587569","599925","611484","622404","633643","646621","660220","673265","684644","694439","703253","711894","721145","730944","741232","749413","753503","757563","765941","776774","787905","808414","829341","848535","868217","887522","905552","924228","943692","963912","981404","999775","1026423","1058026","1090940",
"Bénin","BEN","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","62764","62267","61864","61591","61480","61544","61778","62170","62681","63247","63847","64502","65201","65929","66657","67373","68081","68769","69426","70046","70631","71176","71681","72153","72634","73164","73762","74437","75198","76032","76929","77898","78963","81228","82961","83421","84569","86177","88005","89939","92019","94245","96610","99192","102066","105357","108756","112269","116143","120187","124358","128485","132951","138028","143146","148243","153508","158912","164524","170364","176053","181769","188260","195427","202935",
"Burkina Faso","BFA","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","69363","71117","72846","74610","76441","78361","80367","82472","84666","86888","89141","91367","93577","95851","98258","100807","103504","106406","109427","112474","115554","118621","121658","124714","127717","130554","133116","135364","137366","139133","140643","141756","142544","143177","143676","144062","144305","144527","145132","146192","147505","149196","151365","153941","156860","160063","163431","166939","170791","175269","180333","185780","191163","194560","196445","198964","202361","206601","211501","217063","222989","229214","236281","244570","253655",
"Bangladesh","BGD","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","811136","830339","852633","877871","906966","940133","977114","1018289","1063071","1109966","1156694","1162440","1172258","1228878","1286909","1347092","1410915","1475172","1539412","1603379","1666444","1727802","1786873","1843109","1895906","1944442","1988696","2028829","2064386","2095235","2121860","2143325","2161905","2180827","2200884","2223652","2250435","2282741","2321445","2366934","2419681","2474289","2531457","2596434","2666812","2741356","2820268","2903901","2992920","3088118","3189831","3306572","3435271","3556417","3670009","3796508","3944054","4111724","4300680","4507051","4691560","4854388","5056247","5291074","5519060",
"Bulgarie","BGR","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","259681","268981","277816","285672","294137","307157","321730","332636","344987","357953","371398","385182","397593","409613","421239","433702","445703","457010","460943","466781","479008","477592","463363","448917","445440","454199","466678","478410","488608","496259","504772","516741","526883","535401","543576","550569","555954","560379","565162","571260","576075","569752","561602","558661","554796","551238","547843","545089","543984","544485","546678","553295","562234","561826","566308","570769","572571","571878","571283","570866","568878","562370","556477","558084","563070",
"Bahreïn","BHR","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","2123","2208","2297","2386","2479","2578","2679","2781","2922","3095","3259","3389","3491","3592","3692","3788","3883","3972","4043","4094","4146","4258","4444","4654","4868","5092","5320","5528","5711","5874","6024","5841","6038","6315","6605","6879","7113","7292","7411","7492","7542","7617","7969","8428","9003","9654","10343","11079","11659","12391","13128","13283","13898","15831","18259","18633","18909","20832","22311","23846","25849","27896","28205","30170","32245",
"Bahamas","BHS","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1714","1762","1817","1884","1960","2043","2136","2241","2359","2486","2605","2711","2825","2952","3100","3267","3456","3665","3887","4120","4358","4596","4834","5063","5278","5475","5658","5843","6036","6247","6481","6738","7019","7320","7637","7963","8303","8664","9047","9452","9884","10348","10846","11382","11953","12548","13151","13743","14300","14869","15437","15944","16397","16803","17161","17473","17743","17991","18242","18503","18707","18793","19014","19443","19932",
"Bosnie-Herzégovine","BIH","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","45578","46874","47873","49383","51782","54939","58592","62458","66265","70072","74004","77771","81245","84771","88502","92333","96112","99597","102432","104233","104812","103564","100907","98381","96698","96292","97071","98556","100601","103588","107890","113759","114922","113078","116021","123343","133358","143203","152227","161319","170585","179630","188127","196012","202838","208318","212105","213731","213586","212599","211820","211851","213025","215582","219161","223190","227901","233635","240044","246568","251716","253862","256166","261713","268904",
"Bélarus","BLR","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","206776","211545","214675","218642","223377","230135","237385","243672","252512","261751","270498","278921","287871","295785","302694","309331","314530","319491","324206","324851","320653","314188","306387","301537","298779","296147","296065","300353","307940","316663","326257","337256","352828","371836","388730","404981","418103","427838","435110","436809","439497","446557","454249","460268","464602","465808","464132","458808","446980","433560","420791","411612","410928","415151","424317","435539","445275","454987","463768","475674","487434","495373","508400","527682","548074",
"Belize","BLZ","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1821","1875","1929","1986","2046","2107","2169","2235","2299","2361","2422","2481","2546","2616","2681","2747","2815","2882","2940","2990","3035","3082","3136","3191","3247","3304","3361","3422","3482","3547","3627","3723","3736","3658","3616","3658","3795","4007","4247","4481","4699","4880","5036","5202","5383","5571","5765","5964","6172","6397","6562","6674","6810","6968","7148","7351","7590","7855","8115","8377","8639","8888","9208","9612","10060",
"Bermudes","BMU","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","959","981","1006","1033","1060","1094","1136","1189","1246","1306","1363","1415","1466","1515","1569","1628","1680","1724","1757","1785","1827","1880","1918","1944","1982","2033","2084","2120","2133","2141","2155","2194","2250","2308","2375","2451","2537","2615","2680","2737","2812","2904","2984","3053","3123","3197","3275","3374","3481","3581","3693","3824","3961","4110","4276","4443","4608","4753","4903","5073","5240","5413","5598","5792","6012",
