country_code,country_name,indicator_code,indicator_name,year,value,unit,decimal
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2023,22.5559165278294,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2022,-15.1947949493802,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2021,-15.6231822077422,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2020,-21.1770497566242,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2019,-20.2538516134308,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2018,-24.1880344780285,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2017,-26.2180905463239,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2016,-26.5308116082362,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2015,-29.0932128746545,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2014,-26.7678529638023,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2013,-30.9381740811701,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2012,-30.6939357165572,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2011,-34.4587420521863,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2010,-47.6306550618306,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2009,-41.8729717003225,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2008,-48.5908188685954,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2007,-51.481341557416,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2006,-48.6127651528268,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2005,-46.0776653717923,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2004,-37.8772386107313,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2003,-38.5168322687859,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2002,-43.3554638687428,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2001,-36.6439410966545,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2000,-36.0068077390275,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1999,-27.8192433585404,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1998,-26.1180943626659,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1997,-25.0619245204167,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1996,-23.1678196045448,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1995,-23.3590710344726,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1994,-22.6927482563634,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1993,-22.3625644483541,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1992,-23.7829271009906,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1991,-21.2001988816138,,0
AFE,Africa Eastern and Southern,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1990,-21.4407693636742,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2022,-60.8465886513954,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2021,-71.2969748944733,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2020,-93.7072976717298,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2019,-114.97798412685,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2018,-128.012127197655,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2017,-122.080649437011,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2016,-114.575324375496,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2015,-144.428389776344,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2014,-135.52155747166,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2013,-136.885091141494,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2012,-161.080126658059,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2011,-160.360116638306,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2010,-174.229230520199,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2009,-190.499830357127,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2008,-190.53180139221,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2007,-210.330197327463,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2006,-216.803408888279,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2005,-214.805959763554,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2004,-232.209498707588,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2003,-213.322416230615,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2002,-194.638178890744,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2001,-226.293824804376,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2000,-226.602650202688,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1999,-217.230091254068,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1998,-226.824558718708,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1997,-246.177963275427,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1996,-237.123343039322,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1995,-231.159581180119,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1994,-229.26109809653,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1993,-211.304170000572,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1992,-208.788659466961,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1991,-213.492318197012,,0
AFW,Africa Western and Central,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",1990,-214.692301242534,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2022,-150.383121563667,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2021,-145.156494225722,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2020,-149.302631545499,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2019,-158.313720421706,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2018,-161.58000274827,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2017,-155.761471186741,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2016,-166.709839520834,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2015,-158.688222538078,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2014,-157.46363693439,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2013,-174.149075179052,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2012,-184.982223811802,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2011,-181.507226366315,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2010,-177.255132368831,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2009,-180.178448496933,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2008,-196.292845743707,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2007,-202.636453892051,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2006,-216.736345655801,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2005,-231.852307982609,,0
ARB,Arab World,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",2004,-255.748959103389,,0
