country_code,country_name,indicator_code,indicator_name,year,value,unit,decimal
CSS,Caribbean small states,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2007,27.1686756472154,,1
CSS,Caribbean small states,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2006,27.2381964017293,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2023,31.6448202485068,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2022,33.3873489432114,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2021,39.3503158486765,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2020,40.9992084481667,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2019,33.3359635115053,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2018,31.6602313959176,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2017,32.1834478665604,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2016,33.0093502625864,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2015,32.2486390338709,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2014,31.5347700888549,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2013,29.170018951991,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2012,32.8677445154457,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2011,34.3745643479121,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2010,35.5749130886869,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2009,42.0061709454569,,1
ECA,Europe & Central Asia (excluding high income),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2008,34.5050838282794,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2023,23.9117159912303,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2022,25.090940841168,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2021,28.6153496877721,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2020,30.8405329536641,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2019,24.4606794601158,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2018,23.0666764491925,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2017,23.3866310704089,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2016,22.598550345929,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2015,21.8109865687534,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2014,20.2548888086112,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2013,17.9933321549015,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2012,19.3484055846642,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2011,20.0673236682712,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2010,21.0086121964558,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2009,22.4352244065171,,1
TEC,Europe & Central Asia (IDA & IBRD countries),GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2008,18.0473795369764,,1
LCN,Latin America & Caribbean,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",2021,69.1122409191485,,1
