country_code,country_name,indicator_code,indicator_name,year,value,unit,decimal
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2020,1769228,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2019,1679298,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2018,1828229,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2017,1684097,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2016,1638504,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2015,1403980,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2014,1240339,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2013,1146947,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2012,986823,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2011,857546,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2010,731535,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2009,667812,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2008,659377,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2007,629917,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2006,609378,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2005,596811,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2004,546382,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2003,512027,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2002,492283,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2001,496382,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",2000,490611,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1999,436757,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1998,428311,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1997,435329,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1996,424249,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1995,407756,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1994,361691,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1993,367734,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1992,365512,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1991,357989,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1990,349337,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1989,330514,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1988,320456,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1987,321054,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1986,298506,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1985,282371,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1984,266660,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1983,237536,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1982,9335,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1981,8816,,0
EAS,East Asia & Pacific,IP.PAT.RESD,"Patent applications, residents",1980,174842,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2020,215964,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2019,221382,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2018,223725,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2017,222576,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2016,224785,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2015,218330,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2014,221770,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2013,225391,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2012,223012,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2011,222070,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2010,227012,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2009,217062,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2008,224231,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2007,219661,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2006,205797,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2005,200131,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2004,199480,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2003,196039,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2002,190235,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2001,200690,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",2000,204843,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1999,191401,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1998,171753,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1997,161961,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1996,163870,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1995,142426,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1994,153787,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1993,166245,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1992,161722,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1991,112316,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1990,90542,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1989,96217,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1988,100976,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1987,97601,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1986,96472,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1985,98000,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1984,97815,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1983,97368,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1982,95118,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1981,93973,,0
ECS,Europe & Central Asia,IP.PAT.RESD,"Patent applications, residents",1980,99430,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2020,870300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2019,900200,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2018,900300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2017,911300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2016,917400,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2015,912900,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2014,912900,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2013,916300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2012,899800,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2011,868300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2010,861700,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2009,841600,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2008,888200,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2007,898400,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2006,886500,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2005,886700,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2004,851300,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2003,821000,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2002,805800,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2001,816900,,0
,High income,IP.PAT.RESD,"Patent applications, residents",2000,804200,,0
,High income,IP.PAT.RESD,"Patent applications, residents",1999,735400,,0
,High income,IP.PAT.RESD,"Patent applications, residents",1998,706700,,0
,High income,IP.PAT.RESD,"Patent applications, residents",1997,690700,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2020,8385,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2019,8364,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2018,8183,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2017,8651,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2016,8674,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2015,7561,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2014,7455,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2013,7662,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2012,7634,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2011,7230,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2010,6390,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2009,6468,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2008,6676,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2007,6606,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2006,6364,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2005,6517,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2004,6117,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2003,5786,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2002,5387,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2001,5155,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",2000,5272,,0
LCN,Latin America & Caribbean,IP.PAT.RESD,"Patent applications, residents",1999,4719,,0
