country_code,country_name,indicator_code,indicator_name,year,value,unit,decimal
AFE,Africa Eastern and Southern,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2010,0.586779084367876,,2
AFE,Africa Eastern and Southern,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2007,0.659864661576848,,2
AFE,Africa Eastern and Southern,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2005,0.626592924758238,,2
AFE,Africa Eastern and Southern,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2004,0.626100578625712,,2
AFE,Africa Eastern and Southern,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2003,0.594539921118996,,2
AFW,Africa Western and Central,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2019,0.278252142202904,,2
AFW,Africa Western and Central,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2007,0.152009194879664,,2
ARB,Arab World,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2021,0.697916312422648,,2
ARB,Arab World,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2020,0.701839355884964,,2
ARB,Arab World,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2011,0.553661817120459,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2022,1.31269465137523,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2021,1.33065030724772,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2020,1.30792868291217,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2019,1.24787933328716,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2018,1.19333758224903,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2017,1.08633984077123,,2
CEB,Central Europe and the Baltics,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),2016,1.02647720261942,,2
