country_code,country_name,indicator_code,indicator_name,year,value,unit,decimal
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2022,3296.66244307403,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2021,3147.71702963511,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2020,2956.41895157371,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2019,2843.83022348261,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2018,2746.40178336029,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2017,2563.30148952353,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2016,2239.72613725369,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2015,2146.74488072421,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2014,2108.06478546315,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2013,2001.90286415388,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2012,1926.05782834838,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2011,1853.73361686531,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2010,1839.07179130886,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2009,1767.59924725686,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2008,1751.04927639105,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2007,1685.44596635355,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2006,1620.8824865457,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2005,1613.70002900392,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2004,1494.20179041627,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2003,1424.62430506076,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2002,1412.75615577233,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2001,1391.74805486875,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2000,1377.07852720069,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1999,1384.27870483453,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1998,1408.71561554187,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1997,1399.05654958344,,0
CEB,Central Europe and the Baltics,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1996,1410.6136447341,,0
EAR,Early-demographic dividend,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2020,385.951221292971,,0
EAR,Early-demographic dividend,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2018,329.8411445102,,0
EAR,Early-demographic dividend,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2015,309.51212176135,,0
EAR,Early-demographic dividend,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2005,180.559050459637,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2022,2304.40427945212,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2021,2102.64718822903,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2020,1839.09362625821,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2019,1720.6069016903,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2018,1537.04680443279,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2017,1489.63812290506,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2016,1522.18771268532,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2015,1543.15542304269,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2014,1641.78544916549,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2013,1465.65650949496,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2012,1567.70345712545,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2011,1394.76569061372,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2010,1471.68017837487,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2009,1121.5524251653,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2008,1688.80907190376,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2007,1449.07380228845,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2006,1454.3677983571,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2005,1249.43827056641,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2004,1220.68347119439,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2003,1065.63443378871,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2002,978.439383939929,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2001,910.541777717813,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2000,934.012770901935,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1999,859.228160955119,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1998,870.800992244599,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1997,882.953257066031,,0
EAS,East Asia & Pacific,SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1996,897.965464886747,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2022,1783.36902463718,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2021,1574.67143354107,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2020,1373.74587830065,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2019,1258.99559865245,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2018,1092.61398843962,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2017,1033.74202275589,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2016,1067.2876605696,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2015,1067.01889080476,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2014,1113.22619756965,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2013,988.180504000522,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2012,1044.86502001173,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2011,907.993800815338,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2010,910.471570028839,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2009,695.473951278306,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2008,1185.38385816256,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2007,980.660561223548,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2006,920.13701826978,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2005,785.040321989598,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2004,709.488308210953,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2003,615.212019064266,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2002,542.808826187397,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2001,501.515060371933,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2000,496.586860431784,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1999,397.751558821605,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1998,372.820348019524,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1997,442.520208092577,,0
EAP,East Asia & Pacific (excluding high income),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),1996,425.444542669836,,0
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2022,1783.36902463718,,0
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2021,1574.67143354107,,0
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2020,1373.74587830065,,0
TEA,East Asia & Pacific (IDA & IBRD countries),SP.POP.SCIE.RD.P6,Researchers in R&D (per million people),2019,1258.99559865245,,0
