"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2262187265199","","20.5665160488537","17.0812693154215","16.9037378875984","17.9131058831836","18.4533961116529","20.5733018861452","20.4374627985331","21.0644032239556","16.5411515206438","16.5249366709808","17.1875238017205","17.3691146975554","17.4454901687107","17.6158914947681","16.9224791235969","16.5581053440543","16.9992214384548","17.3028768816564","17.8176050073732","18.4246535832604","17.8642779576929","18.3757890834858","17.8927500792662","",
"Afghanistan","AFG","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96759757536323E-06","5.28345660361407E-06","6.08796493104171E-06","8.48175836115538E-06","9.16975191897818E-06","8.91679399623323E-06","7.7078006029517E-06","7.12277329012108E-06","6.8821029425122E-06","7.58538233155396E-06","9.50265278008681E-06","9.8984508955205E-06","","","","","","","",
"","AFW","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.62939716615223E-08","2.87033821554533E-08","2.9246675722487E-08","1.37150483492949E-08","1.50363957253039E-08","1.57676000610902E-08","1.52799733046431E-08","2.08842752142441E-08","1.92115962538976E-08","2.29883598928014E-08","1.57996845751465E-08","1.45589920536317E-08","1.43382952931909E-08","1.32204079061426E-08","1.26117526343152E-08","1.19996728280075E-08","9.7095138707439E-09","8.57578671451953E-09","8.05553778682328E-09","9.92888023428148E-09","1.12888521414E-08","2.05176075923944E-08","1.07033300733944E-08","1.27318115283927E-08","8.86912888166896E-09","7.74436374420001E-09",
"Albanie","ALB","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12022198544936E-05","8.76625058391996E-06","9.75303831787712E-06","1.42642010672685E-05","","","","1.58747643037774E-05","1.66323426421383E-05","1.74267041665946E-05","","","","","","","1.79067230671409E-05","1.75879265953551E-05","1.64764962744668E-05","1.82080954662381E-05","1.83812921492969E-05","1.74032025232446E-05","1.85476631833556E-05","1.82769527327116E-05","1.79309939892851E-05","1.68955410663729E-05","1.80962279133573E-05","1.80607759287802E-05","1.78021587949933E-05","",
"Andorre","AND","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.41206057564939E-05","1.37632458363196E-05","1.26582711954138E-05","1.31108385219337E-05","1.49845975404244E-05","1.39472972221746E-05","",
"Le monde arabe","ARB","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1423833146248","5.29674517196009","","","","","","","","","",
"Émirats arabes unis","ARE","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.92336343973077E-07","1.07587239217888E-06","1.1224470054107E-06","","","","","","","","","","","","3.05542656542035E-07","3.46927730438243E-07","3.52793065363978E-07","3.37474917482444E-07","5.41309877202387E-08","4.06834504185879E-08","6.35311889968529E-08","5.68405820426624E-08","9.3653171008425E-07","6.67404502327936E-07","5.2604178034776E-07","5.68698432322806E-07","6.16670610056634E-07","6.4751617298844E-07",
"Argentine","ARG","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697E-06","5.00823654744009E-06","5.54792213441138E-06","8.01513800555669E-06","8.12643722809198E-06","8.05435765172309E-06","8.17178777492906E-06","8.69008635554994E-06","9.03052618638845E-06","9.07612433559182E-06","9.62260350188905E-06","9.32489879390056E-06","9.81895834666325E-06","1.25187797009653E-05","1.31007799001848E-05","1.31031756459852E-05","1.28788866954319E-05","1.24482684483004E-05","1.33178463574032E-05","1.23830415594157E-05","1.28530426903256E-05","1.26636277012315E-05","1.29528415127413E-05","1.24529027558077E-05","1.26109666067191E-05","1.23365069418291E-05","1.20972836411962E-05","1.0939623860491E-05","9.79144711720618E-06","1.03919973375404E-05","1.07081211457574E-05","1.13410740324002E-05","1.10647708089117E-05","9.92889407586128E-06","",
