freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,GDP_BEUR,AT	: 	4.96 	4.51 	4.86 	5.19 	4.93 	5.95 	6.33 	5.3 	5.7 	5.81 	5.56 	4.94 	4.71 	4.12 	4.07 	3.98 	3.68 	4.11 	5.27 	5.01 	5.38 	5.68 	5.61 	5.85 	6.19 	6.18 	6.21 	6.76 	6.28 	5.75 	6.2 	6.21 	6.02 	6.07 	6.11 e	3.27 e	: 	: 	: 
A,GDP_BEUR,AU	: 	0.81 	0.99 	1.21 	1.51 	2.18 	2.59 	3.43 	2.11 	1.38 	1.01 	1.02 	0.89 	0.97 	0.91 	1.17 	1.05 	0.99 	0.84 	1.3 	1.59 	2.13 	2.72 	2.81 	2.55 	1.72 	1.37 	1.21 	1 	0.7 	0.59 	0.65 	0.48 	0.41 	0.42 	0.41 e	: 	: 	: 	: 
A,GDP_BEUR,BE	: 	1.55 	2.86 	2.76 	3.48 	3.49 	4.04 	3.59 	3.92 	4 	3.89 	4.01 	3.29 	3.6 	3.89 	4.34 	3.91 	3.73 	4.13 	5.23 	5.05 	5.63 	5.2 	4.68 	4.97 	4.94 	5.22 	5.01 	4.84 	4.66 	4.33 	4.16 	4.26 	4.11 	4.01 	4.01 e	2.11 e	: 	: 	: 
A,GDP_BEUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.76 	0.81 	1.16 	0.92 	0.37 	0.82 	0.61 	0.86 	0.78 	0.64 	0.53 	1.03 	0.86 	1.16 	0.86 	1 	1.02 	0.4 	0.53 	0.45 	0.47 	0.69 	0.85 	1 e	: 	: 	: 	: 
A,GDP_BEUR,BR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.19 	0.28 	0.28 	0.28 	0.24 	0.19 	0.16 	0.14 	0.12 	0.11 	0.08 	0.07 	: 	: 	: 	: 	: 	: 
A,GDP_BEUR,CA	: 	0.43 	0.53 	0.71 	1.03 	1.17 	1.37 	1.51 	1.23 	1.12 	0.93 	0.96 	0.73 	0.72 	0.77 	0.98 	1.05 	1.06 	1.19 	1.68 	1.99 	2.27 	2.47 	2.68 	2.57 	1.94 	1.82 	1.72 	1.49 	1.18 	0.96 	1.2 	1.1 	0.9 	0.97 	0.93 e	0.92 e	: 	: 	: 
A,GDP_BEUR,CH	: 	: 	12.71 	12.46 	11.29 	11.56 	11.69 	11.05 	9.66 	10.67 	10.36 	10.22 	8.77 	7.94 	8.71 	7.84 	7.39 	6.81 	7.67 	8.95 	9.58 	9.72 	9.82 	9.6 	8.76 	9.44 	10.2 	10.41 	10 	9.95 	8.86 	8.58 	8.09 	6.93 	6.6 	6.68 e	3.37 e	: 	: 	: 
A,GDP_BEUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.24 	0.45 	0.62 	1.38 	0.62 	0.43 	0.48 	1.23 	0.43 	0.65 	0.66 	0.9 	0.44 	0.31 	0.14 	0.48 e	: 	: 	: 	: 
A,GDP_BEUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.05 	0.38 	0.62 	0.61 	0.41 	0.62 	0.84 	1.12 	1.02 	1.04 	0.99 	1.09 	1.31 	1.22 	1.03 	1.29 	1.43 	1.36 	1.24 	1.28 	1.43 	1.52 	1.68 e	0.96 e	: 	: 	: 
A,GDP_BEUR,DE	: 	4.14 	4.65 	7.38 	8.82 	11.49 	15.1 	16.7 	9.5 	7.38 	7.24 	7.87 	5.07 	7.68 	7.16 	6.83 	6.87 	6.75 	8.1 	9.19 	10.06 	10.49 	10.8 	10.44 	10.26 	10.34 	10.54 	10.82 	10.44 	10.05 	9.37 	9.87 	9.4 	8.8 	8.22 	7.83 e	3.91 e	: 	: 	: 
