freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,BES,OTH,F,FTE,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	941.3 	: 	: 	: 	760.8 	: 	972.6 	: 	1029.7 	1034 	: 	944.4 	: 	1113.7 	: 	950.4 	: 	953 	: 	825.1 	: 	816.3 	: 	1138.8 	: 	1195.2 	: 
A,BES,OTH,F,FTE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85.5 	80 	56.9 	: 	: 	: 	: 	52.7 	39.4 	51 	: 	: 	: 
A,BES,OTH,F,FTE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1362.6 	1478.8 	1575.2 	1446.6 	1422.3 	1480.5 	1553.7 	2030.3 	2111.5 	1215.1 	1252 	1061.4 	1128.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	979 	422 	374 	309 	248 	228 	142 	197 	162 	162 	154 	136 	125 	118 	133 	192 	228 	152 	114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	14 	15 	14.3 	17.6 	20.5 	23 	21.8 	28.7 	16.4 	16.9 	15 	14.1 	11.3 	7.8 	9.6 	11.2 	10.7 	26.3 	20.8 	25.6 	29.6 	32.1 	27.7 	: 	28.2 	: 
A,BES,OTH,F,FTE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	601 	634 	598 	552 	611.8 	1058.8 b	1078.1 	1202.1 	1219.2 	1205.3 	1367.6 	1534.1 	1756.7 	1687.8 	1644.9 	1699.4 	1715.8 	1878.5 	1980.8 	2082.7 	2107.6 	2145.3 	2102.6 	2209.9 	2310.4 p
A,BES,OTH,F,FTE,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16249 	: 	16820 e	: 	15667 	: 	14292 	: 	13774 	: 	14482.8 	: 	14816.2 	: 	15846 	: 	15686 	: 	15963 b	: 
A,BES,OTH,F,FTE,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1145 	1326 	: 	: 	: 	1659.2 	: 	1444.9 	: 	1369 b	: 	1828 	1693.5 e	1559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	92 	30 	48 	56 	61 	79 	111 	103 	99 	69 	57 	79 	80 	60 	69 	60.2 	63 	70 	60 	68 	88 	76.9 	99 	: 	: 	: 
A,BES,OTH,F,FTE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	497 	: 	: 	: 	664.3 	: 	780.3 	: 	664.7 	: 	: 	: 	456.9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2099 	: 	2638 	: 	2327.8 	4074.1 b	4184 	4528.5 	4577.2 	4761.1 	5107.1 	5211.3 	5084.1 	4293.7 	4168.7 	3883.1 	3876.4 	3704.8 	3449 	3463.5 	3711.9 	4033.1 	4277 	3953.5 	3936 	3948 	4210 	: 
