"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","Central and West Asia","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","Afghanistan","percent","...","...","...","...","...","...","...","...","...","...","...","31","...","...","...","33.7538414","...","...","...","...","...","37","...","...","...","...","The percentage of the population aged 15 years and older who can both read and write (with understanding) a short simple statement on his or her everyday life. Generally, literacy also encompasses numeracy, i.e., the ability to make simple arithmetic calculations.","From 2000 to 2025","Ending 31 December","","United Nations Educational, Scientific and Cultural Organization",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","Armenia","percent","...","99","...","...","...","...","...","...","...","...","...","100","...","...","...","...","100","100","...","...","100","...","99.82499695","...","...","...","The percentage of the population aged 15 years and older who can both read and write (with understanding) a short simple statement on his or her everyday life. Generally, literacy also encompasses numeracy, i.e., the ability to make simple arithmetic calculations.","From 2000 to 2025","Ending 31 December","","United Nations Educational, Scientific and Cultural Organization",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Aragatsotn","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Ararat","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Armavir","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Gegharkunik","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Lori","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Kotayk","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Shirak","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Syunik","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Vayots Dzor","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Tavush","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","ARM-Yerevan","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
