indicatorId,geoUnit,year,value,qualifier,magnitude
ILLPOP.AG15T99,ABW,2010,2582,,
ILLPOP.AG15T99,ABW,2020,1801,UIS_EST,
ILLPOP.AG15T99,AFG,2011,10216524,,
ILLPOP.AG15T99,AFG,2021,13924525,,
ILLPOP.AG15T99,AGO,2001,2860002,,
ILLPOP.AG15T99,AGO,2014,4916935,,
ILLPOP.AG15T99,AGO,2024,5466103,UIS_EST,
ILLPOP.AG15T99,AIA,1994,301,UIS_EST,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1991,683792704,UIS_EST,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1992,675637120,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1993,667598016,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1994,659703040,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1995,650966336,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1996,643644352,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1997,572042880,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1998,531752864,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,1999,525207520,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2000,518117152,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2001,521138528,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2002,519264032,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2003,515454016,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2004,513128736,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2005,519650752,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2006,523631040,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2007,506174080,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2008,499111392,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2009,494477120,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2010,475765216,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2011,480919488,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2012,484101760,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2013,479059712,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2014,469593984,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2015,457493664,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2016,444995072,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2017,441334592,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2018,440411072,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2019,446728704,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2020,439844992,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2021,432836896,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2022,424771552,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2023,418703072,,
ILLPOP.AG15T99,AIMS: Asia and the Pacific,2024,412554720,,
ILLPOP.AG15T99,AIMS: Central Asia,1991,722178,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1992,699773,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1993,676861,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1994,653627,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1995,627592,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1996,479931,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1997,431126,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1998,400981,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,1999,372613,UIS_EST,
ILLPOP.AG15T99,AIMS: Central Asia,2000,347621,,
ILLPOP.AG15T99,AIMS: Central Asia,2001,330579,,
ILLPOP.AG15T99,AIMS: Central Asia,2002,314224,,
ILLPOP.AG15T99,AIMS: Central Asia,2003,298571,,
ILLPOP.AG15T99,AIMS: Central Asia,2004,283518,,
ILLPOP.AG15T99,AIMS: Central Asia,2005,269022,,
ILLPOP.AG15T99,AIMS: Central Asia,2006,258632,,
ILLPOP.AG15T99,AIMS: Central Asia,2007,244894,,
ILLPOP.AG15T99,AIMS: Central Asia,2008,231733,,
ILLPOP.AG15T99,AIMS: Central Asia,2009,93902,,
ILLPOP.AG15T99,AIMS: Central Asia,2010,83375,,
ILLPOP.AG15T99,AIMS: Central Asia,2011,81325,,
ILLPOP.AG15T99,AIMS: Central Asia,2012,79262,,
ILLPOP.AG15T99,AIMS: Central Asia,2013,77297,,
ILLPOP.AG15T99,AIMS: Central Asia,2014,78205,,
ILLPOP.AG15T99,AIMS: Central Asia,2015,75874,,
ILLPOP.AG15T99,AIMS: Central Asia,2016,73578,,
ILLPOP.AG15T99,AIMS: Central Asia,2017,71398,,
ILLPOP.AG15T99,AIMS: Central Asia,2018,68560,,
ILLPOP.AG15T99,AIMS: Central Asia,2019,65113,,
