indicatorId,geoUnit,year,type,subtype,value
ILLPOP.AG15T99,ABW,2010,Data Status,Data reporting,Literacy definition: Are you able to read a simple text and to write a letter?
ILLPOP.AG15T99,ABW,2010,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,ABW,2020,Data Status,Data reporting,Literacy definition: 2010 population census: Are you able to read a simple text and to write a letter?
ILLPOP.AG15T99,ABW,2020,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,AFG,2011,Data Status,Data reporting,Literacy definition: Can you read and write?
ILLPOP.AG15T99,AFG,2011,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,AFG,2021,Data Status,Data reporting,Literacy definition: Can you read and write?
ILLPOP.AG15T99,AFG,2021,Source,Data sources,Source: Income and Expenditure & Labor Force Surveys
ILLPOP.AG15T99,AGO,2001,Data Status,Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99,AGO,2001,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99,AGO,2014,Data Status,Data reporting,Literacy definition: Does (NAME) know how to read?  Does (NAME) know how to write?
ILLPOP.AG15T99,AGO,2014,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,AGO,2024,Data Status,Data reporting,Literacy definition: 2014 population census:  Does (NAME) know how to read?  Does (NAME) know how to write?
ILLPOP.AG15T99,AGO,2024,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,AIA,1994,Data Status,Data reporting,"Literacy definition: 1984 population census: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,AIA,1994,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,ALB,2008,Data Status,Data reporting,Literacy definition: Literate persons are those who can read and write.
ILLPOP.AG15T99,ALB,2008,Source,Data sources,Source: Living Standards Measurement Survey
ILLPOP.AG15T99,ALB,2011,Data Status,Data reporting,Literacy definition: Do you know how to read and write?
ILLPOP.AG15T99,ALB,2011,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,ALB,2012,Data Status,Data reporting,Literacy definition: Can you write a personal letter? Can you read a newspaper?
ILLPOP.AG15T99,ALB,2012,Source,Data sources,Source: Living Standards Measurement Survey
ILLPOP.AG15T99,ALB,2023,Data Status,Data reporting,Literacy definition: Can a person read and write a short statement on his or her everyday life?
ILLPOP.AG15T99,ALB,2023,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,ARE,2005,Data Status,Data reporting,"Literacy definition: A person who cannot read and write, or a person who can only read is considered illiterate."
ILLPOP.AG15T99,ARE,2005,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARE,2019,Data Status,Data reporting,"Literacy definition: A person who cannot read and write, or a person who can only read is considered illiterate."
ILLPOP.AG15T99,ARE,2019,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARE,2021,Data Status,Data reporting,Literacy definition: Can the individual read and write?
ILLPOP.AG15T99,ARE,2021,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARE,2022,Data Status,Data reporting,Literacy definition: Can the individual read and write?
ILLPOP.AG15T99,ARE,2022,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARE,2023,Data Status,Data reporting,Literacy definition: Can you read and write in any language?
ILLPOP.AG15T99,ARE,2023,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARE,2024,Data Status,Data reporting,Literacy definition: Can you read and write in any language?
ILLPOP.AG15T99,ARE,2024,Source,Data sources,Source: Labour Force Survey
ILLPOP.AG15T99,ARG,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,ARG,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,ARG,2001,Data Status,Data reporting,Literacy definition: Literate is a person who can read and write.
ILLPOP.AG15T99,ARG,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,ARG,2020,Data Status,Data reporting,Literacy definition: Literate is a person who can read and write.
ILLPOP.AG15T99,ARG,2020,Source,Data sources,Source: Household survey for 31 most important urban cities
