indicatorId,geoUnit,year,value,qualifier,magnitude
RESDEN.INHAB.TFTE,AGO,2011,48.42677,,
RESDEN.INHAB.TFTE,AGO,2016,18.93579,,
RESDEN.INHAB.TFTE,ALB,2008,155.23568,,
RESDEN.INHAB.TFTE,ARE,2015,2168.42732,,
RESDEN.INHAB.TFTE,ARE,2016,2509.55341,,
RESDEN.INHAB.TFTE,ARE,2018,2464.56964,,
RESDEN.INHAB.TFTE,ARE,2019,2476.63113,,
RESDEN.INHAB.TFTE,ARE,2020,2581.47405,,
RESDEN.INHAB.TFTE,ARE,2021,2606.78477,,
RESDEN.INHAB.TFTE,ARG,1997,694.1551,,
RESDEN.INHAB.TFTE,ARG,1998,702.90202,,
RESDEN.INHAB.TFTE,ARG,1999,710.82614,,
RESDEN.INHAB.TFTE,ARG,2000,713.92711,,
RESDEN.INHAB.TFTE,ARG,2001,685.59721,,
RESDEN.INHAB.TFTE,ARG,2002,689.51093,,
RESDEN.INHAB.TFTE,ARG,2003,715.84326,,
RESDEN.INHAB.TFTE,ARG,2004,763.13901,,
RESDEN.INHAB.TFTE,ARG,2005,816.8412,,
RESDEN.INHAB.TFTE,ARG,2006,888.89168,,
RESDEN.INHAB.TFTE,ARG,2007,971.29008,,
RESDEN.INHAB.TFTE,ARG,2008,1032.67483,,
RESDEN.INHAB.TFTE,ARG,2009,1031.64133,,
RESDEN.INHAB.TFTE,ARG,2010,1119.05035,,
RESDEN.INHAB.TFTE,ARG,2011,1175.37229,,
RESDEN.INHAB.TFTE,ARG,2012,1197.6554,,
RESDEN.INHAB.TFTE,ARG,2013,1193.37333,,
RESDEN.INHAB.TFTE,ARG,2014,1202.47388,,
RESDEN.INHAB.TFTE,ARG,2015,1225.50983,,
RESDEN.INHAB.TFTE,ARG,2016,1254.06674,,
RESDEN.INHAB.TFTE,ARG,2017,1206.01905,,
RESDEN.INHAB.TFTE,ARG,2018,1220.93622,,
RESDEN.INHAB.TFTE,ARG,2019,1224.69939,,
RESDEN.INHAB.TFTE,ARG,2020,1250.48347,,
RESDEN.INHAB.TFTE,ARG,2021,1288.13477,,
RESDEN.INHAB.TFTE,ARG,2022,1296.45435,,
RESDEN.INHAB.TFTE,ARM,2022,1187.43401,,
RESDEN.INHAB.TFTE,ARM,2023,1039.84774,,
RESDEN.INHAB.TFTE,ASM,2002,87.58715,,
RESDEN.INHAB.TFTE,ASM,2003,420.77949,,
RESDEN.INHAB.TFTE,ASM,2004,158.16111,,
RESDEN.INHAB.TFTE,ASM,2005,105.76042,,
RESDEN.INHAB.TFTE,AUS,1996,3353.7053,,
RESDEN.INHAB.TFTE,AUS,1998,3379.7753,,
RESDEN.INHAB.TFTE,AUS,2000,3470.70203,,
RESDEN.INHAB.TFTE,AUS,2002,3755.80266,,
RESDEN.INHAB.TFTE,AUS,2004,4073.65927,,
RESDEN.INHAB.TFTE,AUS,2006,4269.01789,,
RESDEN.INHAB.TFTE,AUS,2008,4379.63519,,
RESDEN.INHAB.TFTE,AUS,2010,4568.56658,UIS_EST,
RESDEN.INHAB.TFTE,AUT,1998,2347.32828,,
RESDEN.INHAB.TFTE,AUT,2002,2992.22105,,
RESDEN.INHAB.TFTE,AUT,2004,3186.95396,,
RESDEN.INHAB.TFTE,AUT,2005,3470.7262,,
RESDEN.INHAB.TFTE,AUT,2006,3536.82275,,
RESDEN.INHAB.TFTE,AUT,2007,3823.63127,,
RESDEN.INHAB.TFTE,AUT,2008,4152.75477,,
RESDEN.INHAB.TFTE,AUT,2009,4157.93027,,
RESDEN.INHAB.TFTE,AUT,2010,4379.18237,,
RESDEN.INHAB.TFTE,AUT,2011,4430.53569,,
RESDEN.INHAB.TFTE,AUT,2012,4720.81116,,
RESDEN.INHAB.TFTE,AUT,2013,4782.1241,,
RESDEN.INHAB.TFTE,AUT,2014,5009.44199,,
RESDEN.INHAB.TFTE,AUT,2015,5073.42857,,
RESDEN.INHAB.TFTE,AUT,2016,5400.34772,,
RESDEN.INHAB.TFTE,AUT,2017,5416.07999,,
RESDEN.INHAB.TFTE,AUT,2018,5682.44087,,
RESDEN.INHAB.TFTE,AUT,2019,5958.85643,,
RESDEN.INHAB.TFTE,AUT,2020,5829.2859,,
RESDEN.INHAB.TFTE,AUT,2021,6323.00331,,
RESDEN.INHAB.TFTE,AUT,2022,6632.30683,,
RESDEN.INHAB.TFTE,AUT,2023,6633.64894,,
RESDEN.INHAB.TFTE,AZE,2019,1715.46385,,
RESDEN.INHAB.TFTE,AZE,2020,1732.37308,,
RESDEN.INHAB.TFTE,AZE,2021,1743.43016,,
RESDEN.INHAB.TFTE,AZE,2022,1702.31299,,
RESDEN.INHAB.TFTE,AZE,2023,1663.3395,,
RESDEN.INHAB.TFTE,BDI,2012,19.57969,,
RESDEN.INHAB.TFTE,BDI,2018,22.4816,,
RESDEN.INHAB.TFTE,BEL,1996,2477.43906,,
RESDEN.INHAB.TFTE,BEL,1997,2582.2631,,
RESDEN.INHAB.TFTE,BEL,1998,2707.1088,,
RESDEN.INHAB.TFTE,BEL,1999,2910.88176,,
RESDEN.INHAB.TFTE,BEL,2000,2982.55342,,
RESDEN.INHAB.TFTE,BEL,2001,3140.73254,,
RESDEN.INHAB.TFTE,BEL,2002,2974.5959,,
RESDEN.INHAB.TFTE,BEL,2003,2985.44684,,
RESDEN.INHAB.TFTE,BEL,2004,3116.44787,,
RESDEN.INHAB.TFTE,BEL,2005,3173.07923,,
RESDEN.INHAB.TFTE,BEL,2006,3318.08595,,
RESDEN.INHAB.TFTE,BEL,2007,3431.0838,,
RESDEN.INHAB.TFTE,BEL,2008,3447.86531,,
RESDEN.INHAB.TFTE,BEL,2009,3554.67756,,
RESDEN.INHAB.TFTE,BEL,2010,3755.63584,,
RESDEN.INHAB.TFTE,BEL,2011,3880.19574,,
